Age of company (years),Internet Activity Score,Employee Count,"Team Size Growth (0: No, 1: Yes)",Last Funding Amount ($),Country of company,Continent of company,Investors in Seed,Investors in Angel/VC,Number of Co-founders,Number of Advisors,Senior Leadership Team Size,Total Team Size,"Top Angel/VC in Previous Round (0: No, 1: Yes)",Number of Repeat Investors,Sales Support Material Count,"Worked in Top Companies (0: No, 1: Yes)",Average Past Company Size,"Part of Startups Before (0: No, 1: Yes)","Part of Successful Startups Before (0: No, 1: Yes)","Partner in Big 5 Consulting (0: No, 1: Yes)","Has Consulting Experience (0: No, 1: Yes)","Product or Service Company (0: Product, 1: Service)","Vertical Focus (0: Single, 1: Multiple)","Data Focus (0: Private, 1: Public)","Consumer Data Focus (0: No, 1: Yes)","Data Structure (0: Structured, 1: Unstructured)","Subscription Based (0: No, 1: Yes)","Cloud Based (0: No, 1: Yes)","Market Reach (0: Local, 1: Global)",Random Feature 1,Random Feature 2,Random Feature 3,Random Feature 4,Random Feature 5,Random Feature 6,Random Feature 7,Random Feature 8,Random Feature 9,Random Feature 10,Random Feature 11,Random Feature 12,Random Feature 13,Random Feature 14,Random Feature 15,Random Feature 16,Random Feature 17,Random Feature 18,Random Feature 19,Random Feature 20,Random Feature 21,Random Feature 22,Random Feature 23,Random Feature 24,Random Feature 25,Random Feature 26,Random Feature 27,Random Feature 28,Random Feature 29,Random Feature 30,Random Feature 31,Random Feature 32,Random Feature 33,Random Feature 34,Random Feature 35,Random Feature 36,Random Feature 37,Random Feature 38,Random Feature 39,Random Feature 40,Random Feature 41,Random Feature 42,Random Feature 43,Random Feature 44,Random Feature 45,Random Feature 46,Random Feature 47,Random Feature 48,Random Feature 49,Random Feature 50,Random Feature 51,Random Feature 52,Random Feature 53,Random Feature 54,Random Feature 55,Random Feature 56,Random Feature 57,Random Feature 58,Random Feature 59,Random Feature 60,Random Feature 61,Random Feature 62,Random Feature 63,Random Feature 64,Random Feature 65,Random Feature 66,Random Feature 67,Random Feature 68,Random Feature 69,Random Feature 70,Random Feature 71,Random Feature 72,Random Feature 73,Random Feature 74,Random Feature 75,Random Feature 76,Random Feature 77,Random Feature 78,Random Feature 79,Random Feature 80,Random Feature 81,Random Feature 82,Random Feature 83,Random Feature 84,Random Feature 85,Random Feature 86,Random Feature 87,Random Feature 88,Random Feature 89,Random Feature 90,Random Feature 91,Random Feature 92,Random Feature 93,Random Feature 94,Random Feature 95,Random Feature 96,Random Feature 97,Random Feature 98,Random Feature 99,Random Feature 100,Random Feature 101,Random Feature 102,Random Feature 103,Random Feature 104,Random Feature 105,Random Feature 106,Random Feature 107,Random Feature 108,Random Feature 109,Random Feature 110,Random Feature 111,Random Feature 112,Random Feature 113,Random Feature 114,Random Feature 115,Random Feature 116,Random Feature 117,Random Feature 118,Random Feature 119,Random Feature 120,Customer Retention Rate (%),Monthly Web Traffic,Customer Feedback Score (out of 10),Mobile App Daily Active Users,Annual Marketing Spend ($),Customer Acquisition Cost ($),Average Customer Lifetime (months),Profit Margin (%),Operational Efficiency Score (out of 10),Average Transaction Value ($),Monthly Subscription Renewal Rate (%),Social Media Engagement Rate (%),Email Campaign Success Rate (%),Product Return Rate (%),Helpdesk First Response Time (hours),Inventory Turnover Ratio,Fixed Asset Turnover Ratio,Equity Multiplier,Debt-to-Equity Ratio,Earnings Before Interest and Taxes ($),Net Income ($),Total Assets ($),Total Liabilities ($),Current Ratio,Quick Ratio,Cash Ratio,Gross Profit Margin (%),Operating Profit Margin (%),Return on Assets (%),Return on Equity (%),Return on Investments (%),Asset Turnover Ratio,Inventory to Sales Ratio,Days Sales Outstanding,Days Payable Outstanding,Days Inventory Outstanding,Total Debt Ratio,Long-Term Debt to Capitalization (%),Interest Coverage Ratio,Cash Flow to Debt Ratio,Company Efficiency Ratio,Reinvestment Rate (%),Financial Leverage Multiplier,"Blockchain Technology Adoption (0: No, 1: Yes)","Uses Artificial Intelligence (0: No, 1: Yes)","Augmented Reality Features (0: No, 1: Yes)","Virtual Reality Integration (0: No, 1: Yes)","IoT Capabilities (0: No, 1: Yes)"
12,76,256,1,745939.2070015469,India,North America,1,6,2,3,10,3,0,6,5,1,7,0,1,0,0,0,0,1,0,1,0,0,1,9,2,2,10,5,2,9,5,2,9,4,10,4,10,7,2,6,6,7,2,4,8,10,2,10,1,3,5,4,2,3,2,4,3,2,9,5,9,10,10,10,8,5,7,2,8,6,2,7,7,6,5,10,9,2,3,5,5,3,1,9,6,6,1,5,6,10,1,2,6,9,7,10,8,2,2,7,3,5,2,5,7,4,2,6,8,6,4,5,7,4,5,3,7,2,2,7,10,2,6,1,8,3,8,2,7,5,1,4,6,1,5,6,4,7,6,10,7,2,2,52.32424241655491,541914,8.24086973910142,52609,74558.16889991786,53.3861814690083,39,20.98075904067137,6.430654577630525,92.04691367115649,67.74830560961018,8.401340845619186,18.05133943768214,5.030364579310221,1.1311068829227426,9.908409119653111,2.778242224491858,2.568209467985844,1.5993632542935048,69758.66198840083,10911.051892448022,5900097.475087372,1373746.6787597605,1.2860087529610136,0.9595883069079661,0.7637502626388968,29.488783490826652,31.183680834165177,6.332112276490741,11.83413931906299,15.659641957760307,1.4774651196165518,0.21588414145127932,30,26,62,0.6149394159055884,18.578464970736498,7.241543626583386,0.8357063725482936,63.10130218195135,47.96478707215496,1.273091004954592,0,1,0,1,1
3,98,116,1,1171633.453611926,USA,Europe,1,3,3,7,8,3,1,2,1,1,5,1,1,0,1,1,1,0,0,0,1,1,1,1,4,8,10,6,9,5,4,1,4,4,1,10,6,5,5,10,8,8,4,7,5,3,2,7,7,6,4,5,2,9,6,8,6,4,2,5,1,6,9,7,9,7,2,3,5,5,2,6,6,1,2,3,9,7,10,10,8,6,2,4,2,6,1,6,7,2,10,3,6,2,1,7,1,7,7,10,1,6,10,9,6,10,8,10,8,1,7,9,5,5,9,2,5,9,10,2,2,3,4,8,9,2,4,6,9,1,3,3,5,10,4,3,1,2,8,10,9,1,7,79.37953172221576,491396,7.770238351309439,98114,118617.2181561401,32.958968001532675,8,44.27729281824317,8.475730179883607,83.06054210312718,68.90331007502483,2.331098308727783,13.596458726120648,2.249601777644148,2.406346742536213,8.353731955013947,3.4929393149862555,1.1261751370561497,1.9081062526431396,97227.75668628774,10506.429733243778,6504274.856531328,2483873.7484509423,2.6086339119846724,1.0263870938571071,0.2575144480467313,36.25573867231011,31.370163209349883,18.72550407501883,20.707049279691123,20.34686356655986,1.9002077249363514,0.2627242446696266,85,38,45,0.6691967488582551,21.09425094906451,6.538120268545835,0.7855077548092446,71.7939546266531,75.65640403303185,2.955774821981117,1,0,1,1,1
15,58,183,1,905530.4937956753,UK,Asia,5,4,4,8,6,5,1,1,9,1,2,0,0,0,1,0,0,0,1,1,0,1,0,10,2,1,1,7,6,5,7,6,5,5,8,2,5,3,6,8,5,7,5,6,7,5,9,9,5,3,1,9,9,6,4,5,9,6,8,8,6,8,9,8,9,3,5,10,9,10,10,5,2,4,7,5,10,8,4,9,8,4,1,5,5,3,7,6,3,1,8,1,6,3,4,8,8,8,7,5,6,1,9,3,5,7,8,4,10,10,5,3,9,4,7,8,5,10,7,6,2,8,4,2,10,7,7,4,10,10,10,4,2,3,2,3,10,1,2,8,4,2,2,72.57600353742492,240332,5.726282815634466,45128,91107.30353126179,44.507734050696456,13,35.617896994257876,7.981627867953782,115.14539724843411,56.822726961387296,6.934582219905851,16.52818977410243,2.5430974279547423,0.6696218587355212,10.886938210731994,3.842944850832786,1.211776355562769,0.7575585965706595,98940.1760262717,10209.401136240764,7390909.392548082,2061707.0655538752,2.532461156121605,1.479384358400163,0.47219931375830465,57.67200317597975,10.951483690961675,15.010642145176169,8.932681491638657,20.2915994743653,0.7306209853942919,0.25193267521271134,64,36,42,0.5579619001067351,10.11172028111099,5.8350573341527285,0.6861855627072876,92.677393448109,36.785940211349256,1.2975249621721439,1,1,0,1,1
2,88,450,1,1248748.7516078372,UK,Europe,9,7,4,7,5,4,0,4,1,1,10,1,1,0,1,0,1,1,0,0,0,0,1,7,2,5,9,9,4,8,10,2,3,6,5,6,3,2,5,3,3,9,6,8,5,8,9,1,1,7,1,4,7,4,1,2,8,1,9,9,7,2,10,3,1,2,10,4,8,10,5,5,8,8,5,10,1,6,3,9,7,9,4,4,5,4,10,6,2,8,6,4,3,2,1,9,3,2,9,7,1,4,1,1,3,6,4,1,8,8,1,10,1,1,9,3,5,6,2,2,4,6,4,5,2,9,3,8,8,7,7,2,4,7,6,3,3,6,4,9,7,2,5,74.37003697239612,597143,8.476607823273852,93177,89264.32494127017,46.31396955297789,37,35.47095704849069,5.904668506083587,96.41982185992694,66.04660431906495,8.862923158943412,26.53240220572034,6.211505522068469,1.8088167833060185,11.618236354295007,4.0430212398011545,2.417192260867962,1.1818047468581332,129864.46489230334,11585.929797406723,6087007.249357649,1493829.829019109,2.30030707826816,0.9730514409444164,0.3983580712997592,31.539434905537043,17.87128806672122,15.420547501650798,6.948686978329015,12.946344618961813,1.0513516128493725,0.4331254853318197,44,52,36,0.48493626041026044,16.792811067083633,4.687281417695628,0.5396408902224372,89.81351577756058,60.109957409529635,1.2503359442736788,1,1,0,1,0
4,70,94,0,319641.188115729,China,Asia,4,9,4,3,2,8,0,3,6,1,4,0,1,1,0,0,1,1,1,1,0,1,0,8,9,3,2,1,4,3,6,8,7,9,7,7,2,9,9,2,5,8,3,4,2,5,3,6,2,1,7,3,4,2,6,3,2,4,9,1,5,5,8,10,7,8,5,6,3,7,10,8,10,10,3,4,3,6,10,2,5,10,6,5,1,7,1,4,2,7,4,5,6,10,3,10,4,6,6,1,4,10,8,9,10,4,1,2,1,9,6,4,1,4,9,6,4,3,1,6,10,10,10,8,10,3,7,8,7,9,1,3,10,9,3,6,4,6,1,7,2,3,7,88.53494346366647,89085,9.41612962000832,93487,103696.81502180599,57.863597218947575,22,23.268903453296673,6.0434985243276,109.29443323248611,81.36819442969079,19.054128747567628,33.225430466574366,2.061728506033298,0.6441189900408624,7.084858056050464,5.193230893542158,2.408121159454063,1.3175385092196197,111972.72738941903,9502.976362818792,6842301.7800206505,2127339.3439560845,2.0585642591379743,1.4103579951537992,0.4659653674370253,53.51607619567392,24.249712922286,15.332420327920197,7.399983862539154,15.531938133120327,1.277164499652827,0.2439883846588527,48,36,77,0.6127656764416987,16.318947457687123,4.75825555854681,0.4432478878986116,65.6207150684004,34.57034674786468,1.8578547419602072,0,1,0,0,0
1,28,254,0,1458313.469547248,USA,North America,2,2,2,9,5,7,1,8,7,1,5,1,0,1,0,0,1,0,1,0,0,0,0,8,2,5,9,3,9,6,6,2,5,2,2,5,3,3,4,9,2,3,10,1,1,5,3,4,10,9,2,9,2,2,8,5,9,2,3,8,4,2,5,10,4,9,1,5,7,1,8,6,7,6,1,3,10,4,10,9,1,10,3,4,7,1,10,6,2,1,9,1,4,2,3,6,3,6,4,2,7,10,9,9,5,2,5,9,1,1,10,3,2,5,5,2,8,3,10,7,9,8,3,5,8,2,5,3,8,10,3,4,5,2,8,9,9,8,7,6,7,10,5,80.3063044896828,919906,8.741491478572014,34231,97079.13150028263,31.679041701105874,18,25.720926142664048,5.875853712796165,102.7501528217105,88.01404772570402,7.273808248686793,20.464816661392195,2.2860349408681433,0.7193777973323194,10.201922497059716,5.493632948762375,2.0684206877158715,1.1638866920932938,59208.42511015173,8584.175919597714,5004716.31696617,1962185.5482895223,2.9680895462486836,0.7111379077015041,0.6288919101005415,35.955052879860006,10.71933392374446,7.671788635977276,21.470478898605702,22.914033572662248,1.3211327162196145,0.2821573375238302,77,43,43,0.7011971280554437,11.22088734757114,3.741619955666076,0.4802326635714194,91.77313716652101,39.93972855104484,1.4437564669026015,0,1,1,1,1
1,5,377,1,1830470.8630112046,Germany,Asia,3,6,4,1,2,7,1,2,3,1,6,1,0,1,1,0,0,0,0,0,0,0,1,8,10,2,3,5,8,9,7,4,10,3,4,2,5,4,8,6,3,3,5,7,2,2,6,5,4,6,9,7,9,5,2,3,3,7,6,3,6,5,10,9,7,7,8,3,3,10,4,6,7,8,8,6,8,10,5,7,10,4,8,3,2,7,5,4,1,10,7,6,2,5,4,3,2,1,4,9,4,1,7,10,6,1,6,2,9,6,5,7,9,3,1,1,9,6,6,2,7,7,4,6,2,5,5,7,9,9,2,3,6,7,2,10,1,3,10,8,9,1,4,79.59181068795783,847956,7.321672116721766,61105,113671.64685546063,54.12223336615865,52,18.523514874140744,5.711364558613376,77.93856872298487,64.29710980931355,5.508570432255903,16.80321353730163,1.1710462350803874,2.6261783288230736,9.784913972257375,2.6713436946568807,1.1561361045800218,1.027426895814481,121892.32589570305,9547.657229245713,4075989.915385285,1806715.4293077404,1.1901390144113866,0.7833972299150038,0.2395323614378246,33.76273848097958,19.867291058964753,2.689621684019909,26.664850065857124,12.328065104460354,1.6439960991679188,0.153348146763304,42,26,37,0.5518245498079615,24.405056829626112,3.7046360613822023,0.5790730163726263,78.46632684077113,41.57618596027616,1.4820974482084048,1,1,0,0,1
1,30,21,0,675789.6733212003,Germany,Europe,1,9,4,2,7,5,0,10,7,0,6,0,0,0,0,1,0,0,0,1,0,0,0,4,7,1,10,2,10,5,1,6,6,7,7,6,6,1,6,9,8,4,3,6,3,7,8,2,7,10,5,7,3,5,7,10,1,2,10,3,6,6,9,4,4,10,10,9,4,8,4,2,9,1,6,7,6,3,1,4,6,3,3,1,3,6,1,2,9,7,10,2,1,3,8,6,4,5,1,2,7,9,9,6,10,10,4,6,3,2,7,6,7,3,7,10,4,6,5,7,6,1,5,5,4,8,7,8,8,10,10,9,3,9,7,1,4,5,10,7,3,9,5,87.61575307755392,782797,5.48044112834671,17745,116156.8694202512,38.70421817178762,17,20.937020753913114,6.956669394765999,75.65013618626236,50.633153884269504,5.315676542864294,32.02649367097254,6.06346777323195,2.844479940322476,11.674752865457162,5.4756080539925795,2.3620344732126917,1.0876234024016787,49672.18195359338,9271.37416575414,3713114.9836756103,2196746.2694317205,2.318256801881121,0.9926095958574775,0.3602301740057121,30.201362221886235,24.763861090586957,11.906242728097133,13.905094954855311,23.838055676097184,0.5969998200266995,0.29314404250943127,86,55,91,0.40336009821179036,32.262253715891575,6.13583251849977,0.6145469448574685,74.46430471886296,52.92611990091797,2.5980630540504785,1,0,1,0,1
17,2,26,0,1488350.2026783053,India,North America,8,9,1,6,3,3,1,8,4,1,3,1,0,0,0,0,1,0,0,1,0,0,1,1,9,6,5,2,9,3,9,10,6,6,7,3,10,9,7,4,7,4,1,3,9,5,5,7,2,7,6,9,10,2,1,1,1,1,5,6,9,5,2,6,8,9,4,7,1,6,8,9,8,9,3,7,2,2,6,5,4,5,7,2,6,7,6,5,10,3,10,7,4,2,3,4,9,3,2,2,10,1,7,5,6,6,1,5,6,6,5,8,9,5,10,9,10,7,4,10,8,7,3,8,2,1,5,4,7,2,5,10,3,8,5,9,10,8,5,6,5,8,3,59.58325426098683,138046,8.763463449988611,48185,88109.10478144213,34.21475778863556,54,39.47011971012901,9.231924257934068,117.93593190567385,83.4741328904628,11.125289771282553,30.779077291795083,3.2373476598636155,2.7429991547678094,9.644030573480396,5.6320348676243945,1.4372103689762241,1.2204205348944264,119922.4672601983,8576.433081273162,5953883.903508411,1877852.713062831,1.0399803404624604,1.3579773984349701,0.6043592365582112,39.86804815386917,36.37209634127594,11.593570736270621,28.25141631138738,23.61131193617046,1.2394720702071889,0.1058179393579367,61,47,104,0.3231834465159133,26.403443666993606,4.883592458026204,0.5483361635782411,88.37409468373112,66.14789348045167,1.2538245729272965,0,0,0,0,1
1,3,115,1,1164411.9213396823,China,Europe,8,5,2,9,10,6,0,7,9,1,4,0,1,1,1,0,1,1,1,1,1,0,0,7,2,9,9,10,5,3,10,7,1,4,1,10,6,8,2,7,7,1,8,3,7,3,3,2,9,1,3,8,7,1,8,9,1,9,9,8,9,9,2,7,9,7,4,7,3,8,2,7,3,9,6,5,3,9,10,3,1,10,3,5,6,6,9,3,7,6,6,1,3,7,4,8,3,4,6,10,4,8,10,6,5,8,6,2,4,7,6,1,6,9,6,10,8,10,5,8,8,10,9,10,1,2,1,2,5,1,8,3,3,10,2,1,3,5,2,6,6,3,6,94.77468495490115,342492,5.07697719210051,67452,78812.85722549923,59.3579682896675,39,38.544659209735606,7.060740313948196,110.04978006871417,85.67634868160684,3.2486804744566626,21.87886063357385,4.237359280238877,1.5050734724986015,7.975868981712467,5.4610044378124964,1.8679769245739082,1.4465481920043413,104803.98934012507,10915.927539080674,4538774.790168889,2412822.2377719837,1.8573026039368563,0.6637694068814403,0.7633716461967055,24.01169423619908,38.03300455513747,7.8774080174550365,13.342047579223472,7.513453956425615,1.380692216050024,0.15991688208201352,74,56,44,0.5158571658927924,37.056178700730946,8.775536895997893,0.6131890349381968,84.66229040471647,72.94313665313541,1.2503295438043311,1,1,1,1,1
