Startup Success,Funding Amount,Number of Founders,Market Size,Product Stage,Number of Employees,Marketing Spend,Number of Users,User Growth Rate,Revenue,Number of Competitors,Tech Stack Diversity,Codebase Size (MB),Monthly Active Developers,Cloud Expenses,Third-party Integrations,Average User Session Duration (min),Bounce Rate (%),SEO Rank,Social Media Followers,Press Mentions,Patents Filed,Outsourced Tasks,Customer Support Tickets,App Store Rating,Play Store Rating,Web Traffic,Conversion Rate (%),Referral Partners,Customer Reviews,Feedback Loop Efficiency,Retention Rate (%),Churn Rate (%),Net Promoter Score,Sales Team Size,Product Updates Per Month,Bug Reports,Server Downtime (hours),E-commerce Cart Size ($),Subscription Renewal Rate (%),Affiliate Partnerships,Email Campaign Success Rate (%),Ad Click-Through Rate (%),Return on Ad Spend (%),Inventory Size,Supply Chain Efficiency,Operational Costs,Profit Margin (%),Debt Ratio (%),Liquidity Ratio,Gross Profit,Net Income,Total Liabilities,Total Assets,Employee Satisfaction Rate (%),Annual Employee Turnover,Training Hours Per Employee,Employee Benefits Rating,Remote Work Percentage (%),Office Space (sq. ft.),R&D Spend,Brand Recognition Score,Loyalty Program Members,Customer Lifetime Value ($),User Onboarding Time (days),Data Breach Incidents,GDPR Compliance Score,Industry Network Size,Event Sponsorships,Whitepaper Publications,Online Webinar Hostings,Product Return Rate (%),Warranty Claims,Safety Incidents,Legal Disputes,Regulatory Compliance Score,Environmental Impact Score,Corporate Social Responsibility Score,Diversity & Inclusion Score,Market Penetration Rate (%),Product Line Diversity,Expansion Rate (%),Franchisees,License Agreements,Merchandising Revenue,Collaborative Projects,Joint Ventures,Mergers & Acquisitions,Spin-off Projects,Venture Capital Relationships,Angel Investor Networks,Government Grants Received,Industry Awards,Product Recalls,Customer Complaints,Unresolved Issues,Quality Assurance Score,Product Reliability Score,Shipping Efficiency,Logistics Partners,Distribution Channels
1.0,879606.2642207231,1.0,78582951.62631123,2.0,74.0,31880.10662437946,63610.06704769774,11.093179451377278,41120.37063398378,10.0,5.0,38.58036405513654,1.0,49.751392977228384,3.0,48.99158652455425,5.0,42.41485392411856,6.0,50.23553677511291,5.0,62.4606747886795,10.0,45.42724848521679,7.0,44.00527556355446,3.0,42.01546795354196,5.0,53.39394939919174,6.0,54.63101759385031,9.0,53.079085884660145,4.0,34.81776795120582,6.0,40.98029447936176,7.0,63.69691100266168,6.0,46.9113194172778,8.0,43.50523752439246,3.0,43.40748982395837,8.0,44.0465728397682,7.0,53.75292989340349,6.0,43.36759315686802,3.0,54.809952901441974,1.0,68.00527293436429,10.0,39.02454556750975,1.0,60.45192712461967,9.0,56.476804868489445,5.0,56.76983114153602,9.0,47.33427092967357,9.0,43.76617294448708,7.0,46.41865673183796,2.0,49.70903663666068,1.0,52.569035140806655,2.0,49.87699181177825,3.0,40.44753276274551,3.0,52.78920590880926,5.0,,2.0,49.87720023535129,6.0,54.23913071375116,5.0,51.70301349102376,9.0,,,50.82792472364999,8.0,42.707395040287636,10.0,44.63655271316476,3.0,57.70719720524423,4.0,70.93645800017511
0.0,483909.5091950807,5.0,55044832.56383017,1.0,20.0,24405.294460287165,11844.962340466218,7.344053778832626,,6.0,6.0,28.077234244909036,9.0,27.151255868192045,4.0,33.59902835344013,4.0,21.368528885566377,5.0,26.794976617730654,6.0,29.002410331532424,5.0,33.66739324738575,8.0,33.31686561896498,7.0,25.98049183665588,9.0,30.77850795527405,1.0,26.09406050071084,6.0,29.022198805247484,6.0,24.84822591625756,7.0,20.152839182072967,9.0,,1.0,23.62341100998983,4.0,25.7157376513565,1.0,40.07572741751467,9.0,21.234563444315636,7.0,41.846502426562054,1.0,24.979176326570375,5.0,22.22299916538401,2.0,30.756612461288654,,37.064740351186444,10.0,38.27040393275263,7.0,38.333568968657,8.0,17.491251103378133,10.0,32.83111379438573,3.0,18.926993244978576,2.0,28.995355643126118,10.0,30.553112101821316,3.0,33.75989872278538,5.0,28.519774688927104,2.0,22.686784400487767,2.0,27.38595916987028,4.0,24.39442677072914,8.0,31.59029726276884,6.0,35.46458531929368,8.0,31.56483060737568,1.0,36.9296713866699,8.0,27.835026324352473,5.0,19.510989874474003,5.0,49.21205208702925,8.0,43.1250240477526,9.0,36.346974227910906
0.0,590017.6986912467,1.0,34369656.934287466,3.0,25.0,20236.49371564364,10248.75224460186,5.13376057405423,11000.47670139648,3.0,2.0,30.765465694764,8.0,30.91634193108757,9.0,31.2774951777889,,14.892564668524587,9.0,23.445266022000155,7.0,26.223175960103283,9.0,21.41656447042378,8.0,29.08789562502312,2.0,26.362896162523565,2.0,37.482514525516685,7.0,33.70697918900145,7.0,26.640727068441223,9.0,29.33571140595797,4.0,20.202076159913773,8.0,36.77788603413634,6.0,33.99459233773453,5.0,33.44591993896537,6.0,31.773939193732666,3.0,23.19172413313489,7.0,36.76417005953154,1.0,22.806195437120934,5.0,22.202085256234103,10.0,28.328248277606235,7.0,,1.0,34.724417324984955,2.0,23.690831147954963,7.0,28.985687604919356,2.0,30.57219556318842,6.0,26.89571493909512,5.0,26.277598776426927,3.0,,6.0,32.76606547453424,4.0,21.85881347931428,2.0,21.7644258357849,4.0,24.09350266752803,10.0,33.38565333570597,9.0,33.768137855330295,10.0,45.00368364062078,5.0,30.754071371643946,2.0,17.63662011096803,,25.202539035594732,8.0,37.30173389090256,7.0,29.310893961639024,10.0,34.4683692389357,1.0,24.891143315092776
0.0,577810.9186126017,1.0,38205403.3549222,3.0,21.0,23473.34562059292,13196.221791503518,6.061784766958321,7503.394396261364,4.0,4.0,26.785673641712002,1.0,45.048719145618094,6.0,33.92317977064865,,36.19287879276887,4.0,,10.0,19.5085599383208,10.0,24.25998624853041,,32.65249295978328,4.0,26.610604286258713,4.0,23.753178192694733,1.0,33.359997466520994,6.0,31.634840895551775,5.0,29.13738407332578,10.0,20.44055572412624,10.0,33.73469063399507,7.0,27.03896571976917,,33.65329507174172,5.0,36.150295542640166,10.0,30.922519460045415,5.0,24.661862785059526,6.0,,7.0,23.11699282826698,10.0,36.11418167090717,7.0,28.4855409022097,7.0,28.83441772184626,2.0,26.923098791091988,10.0,29.347312847776838,8.0,33.64437919876183,3.0,35.85563847266036,2.0,24.41019474069018,9.0,46.11853967341394,1.0,35.15232726387832,10.0,30.540679363579383,6.0,21.760428322774565,5.0,38.60099817073246,6.0,26.985139314043483,4.0,26.522454100906128,2.0,,5.0,31.594118874152453,4.0,26.780616754400015,9.0,37.815973285945425,5.0,33.778064798526344,5.0,34.19804957382825,3.0,42.709174011869024,8.0,
1.0,855332.1835097532,1.0,120148879.46390396,3.0,60.0,38580.58180838689,52454.98681794313,7.744818097582474,46570.05774397768,9.0,,50.24635552209949,2.0,48.62083958940495,10.0,32.50837198141918,6.0,47.584165438543195,7.0,27.228969798375488,2.0,38.37377544900535,7.0,,3.0,35.54121254047989,5.0,46.18278703396849,2.0,44.60088726891432,,46.64280005566486,9.0,65.52564790516084,2.0,17.91714776055563,10.0,44.693948157758875,,52.7480372900964,7.0,46.884595595099306,1.0,38.546694946951924,9.0,55.21932196729131,6.0,70.8915991786254,3.0,39.81521442471451,7.0,41.41545754513665,4.0,49.92185821961937,7.0,58.64488382686807,7.0,48.659024925587005,3.0,57.38265047717299,5.0,43.45224562900083,8.0,38.1375112896517,10.0,56.22339906334449,8.0,45.64007169023475,10.0,43.998834196842985,1.0,38.886955220788835,8.0,63.32637206792647,5.0,55.20956315816469,7.0,47.85239063005309,9.0,56.461108853056686,,52.934970391958814,5.0,60.45106101662297,1.0,41.35401082779615,3.0,49.45952370816089,8.0,54.97492803566075,8.0,48.85032976742707,6.0,55.930203304003186,5.0,52.487786799790435,5.0,62.58633796846389,4.0,44.555008321295965
0.0,390213.76416507765,3.0,46526977.11042157,2.0,14.0,25358.401869452948,7166.35294410162,4.963552679741962,11480.666845112957,1.0,4.0,31.60100678013306,,29.46895834904643,5.0,18.878747551903814,4.0,28.369692683053167,6.0,32.14747775106692,5.0,34.72967048663553,5.0,34.878216994366625,2.0,14.27274339231049,2.0,32.42945163419253,8.0,28.950566528099404,8.0,,,17.892259001843307,9.0,33.93070928585501,9.0,35.056549239260214,7.0,28.561428777664204,3.0,25.34164205617568,10.0,23.759624851891946,1.0,21.303576098807675,4.0,29.062817326331196,7.0,33.613629166025696,2.0,50.78878748933988,10.0,17.553644954497166,6.0,10.700401611429104,10.0,25.36893727826104,5.0,13.532558116342607,5.0,49.5074345585577,2.0,32.109563662767975,2.0,23.632504901436853,6.0,30.18720201023874,,37.53466679554734,4.0,28.96485118787844,5.0,29.331218155075838,8.0,32.4502426447572,8.0,20.78099228936103,5.0,44.98231722087579,2.0,38.57381979544636,7.0,25.200757646531176,10.0,42.89991796456453,3.0,23.81200235682645,7.0,29.71234455728571,1.0,16.14735596343496,5.0,40.57056949163484,1.0,27.726514154572733,10.0,27.398269983686788,2.0,32.24220559418872
1.0,645951.3623316216,1.0,103694209.49562167,4.0,30.0,33748.78741117475,32953.78041822884,7.1927675778563795,57397.59290697269,5.0,1.0,44.429524475079646,1.0,42.81111013788521,9.0,39.45894563004315,3.0,51.884332113864446,10.0,40.86742224815692,7.0,65.85188737548417,8.0,49.56100894036214,4.0,51.88281388659944,9.0,61.8350202354195,4.0,44.86770527783168,4.0,50.24763748104975,8.0,63.46902217754748,9.0,45.84324813107432,3.0,62.38734877250563,2.0,61.49291627122402,8.0,46.188417665456214,1.0,,5.0,64.8773549621564,9.0,47.01713848438048,8.0,42.24797052743792,3.0,49.52789818388239,2.0,43.756174109314166,1.0,39.226838445012774,3.0,65.33913053601985,2.0,65.22045311105481,9.0,45.55313130198481,6.0,37.800082944382,1.0,31.302014058562527,9.0,46.57012388079893,6.0,65.04799440998029,2.0,65.64546844608697,6.0,67.89035665202944,6.0,61.019404093664555,1.0,39.816675767426574,6.0,35.43020646675717,5.0,31.024783924964208,4.0,60.84410359699073,2.0,49.506215307003636,9.0,49.42689549114966,5.0,56.28901905676873,8.0,52.19049499876019,7.0,60.145180765204124,10.0,52.17859768189146,8.0,55.99631300987125,9.0,43.13352690435125
1.0,,,118758310.7502131,3.0,44.0,50829.1185317204,,11.898526348564618,64852.16584147117,7.0,4.0,71.32178524094046,,38.795600298752674,8.0,29.41319313794708,5.0,21.440097732756357,,61.07514180828087,7.0,37.5296156857286,2.0,37.89447354264456,5.0,59.952543946760564,2.0,53.91008385196253,1.0,39.919625292655084,8.0,57.5152789662378,5.0,62.91970859267428,1.0,40.27341781089365,7.0,46.782286449589876,2.0,47.48679774703005,7.0,45.07029559574015,3.0,59.36920087780676,3.0,40.236635751362144,2.0,49.002199011827955,4.0,52.96004266955403,2.0,61.84780344040371,2.0,34.691394215967065,6.0,61.64791447354517,7.0,68.03259561185902,2.0,54.677998028543364,1.0,48.88645229825067,7.0,48.94472998935944,5.0,50.10735070350786,3.0,,6.0,48.165912387016164,2.0,41.33261826498917,2.0,45.66608708739041,2.0,69.2148575611313,3.0,45.53820009894905,4.0,53.614387928446504,5.0,52.987210131243806,8.0,63.40269541194967,8.0,32.986030387152276,10.0,48.1895447305935,2.0,48.10504553306737,9.0,31.10485668555979,5.0,60.523520142284426,10.0,53.749407235353715,,32.8116655721178,4.0,52.698072661535264
0.0,535348.2905948667,5.0,31581022.270421427,1.0,13.0,19939.87985543406,8793.406302443691,5.510098731207273,8080.535330334132,3.0,2.0,29.42894392865834,5.0,22.990510956763966,6.0,23.94274371766538,4.0,33.46910293197627,5.0,,3.0,26.184000926327332,4.0,18.399544430001065,2.0,28.28933824704368,6.0,24.465867826406292,10.0,,6.0,30.51498551701335,2.0,18.30658473499352,9.0,28.39035380268377,9.0,25.579067454565134,8.0,25.230790450794224,4.0,20.675257012041982,6.0,20.257213082884448,6.0,27.521249761649653,3.0,20.73708089801012,6.0,25.777583394749584,6.0,,7.0,6.724232762986546,7.0,34.72700562572655,6.0,35.01045562147783,1.0,27.523640052940586,5.0,33.91664565224405,10.0,29.940031603583925,9.0,31.50379460730461,9.0,,,10.70132156667713,9.0,25.04439081987748,1.0,42.18503287390821,6.0,35.01497504684498,10.0,33.1382210381875,6.0,32.58156860595899,9.0,38.74019712344919,5.0,22.562736342219043,,29.48143083041669,3.0,29.20902661409396,8.0,25.630812644033398,7.0,32.34661943455346,5.0,24.47594252182532,7.0,31.137663374803555,5.0,21.923836047258195,5.0,25.646191635617985
1.0,1017878.7838291299,3.0,157368061.11333537,2.0,,65019.529651885954,59456.3342756763,7.651715255037771,55018.52049359891,2.0,6.0,53.629254587229156,8.0,61.81097927205078,3.0,41.419129506544216,,34.756012200096684,2.0,50.11347476975799,8.0,43.27146616088228,6.0,62.52575371442821,8.0,38.17599165097264,8.0,55.56421318823621,3.0,48.45226144458425,6.0,29.566268127295277,7.0,52.516472761910684,7.0,53.20666256088967,8.0,58.12890329449263,2.0,39.15650428745284,,56.59528629675262,5.0,57.08970969573666,5.0,,1.0,53.090968908822774,5.0,51.33397500580021,,27.512923975254935,3.0,35.8612517337713,7.0,45.51388988386856,10.0,34.20238246703622,8.0,46.06591843737994,3.0,48.66572572727556,1.0,,9.0,65.81812211247691,8.0,55.184654578384865,2.0,55.528342717533505,,51.050161743547875,1.0,59.53911493493016,2.0,43.75422820696908,4.0,38.73841486483567,6.0,57.022865461466964,10.0,,1.0,75.68045892631669,7.0,46.87737722663669,1.0,38.37543152074229,7.0,51.94945547589329,5.0,56.24326298650307,10.0,50.761946823776455,,54.26222079415727,5.0,36.76573030071361,9.0,74.46344223257535
