Startup Success,Funding Amount,Number of Founders,Market Size,Product Stage,Number of Employees,Marketing Spend,Number of Users,User Growth Rate,Revenue,Number of Competitors,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Feature_74,Feature_75,Feature_76,Feature_77,Feature_78,Feature_79,Feature_80,Feature_81,Feature_82,Feature_83,Feature_84,Feature_85,Feature_86,Feature_87,Feature_88,Feature_89,Feature_90,Feature_91,Feature_92,Feature_93,Feature_94,Feature_95,Feature_96,Feature_97,Feature_98,Feature_99,Feature_100
1.0,879606.2642207231,1,78582951.62631123,2,74,31880.10662437946,63610.06704769774,11.093179451377278,41120.37063398378,10,3,56.518415719803556,6,33.742823974036085,5,43.72481904086325,2,30.68938507965988,3,62.899740476665066,7,41.987699707262855,1,65.31663059613743,3,34.343363028423916,3,58.98175464847505,1,51.0090011225589,3,49.14127056637551,9,51.576385534254975,4,39.54529825363569,10,39.652946221406395,3,50.07214167742414,5,36.97727187441797,2,61.25956073194496,4,36.21184543804527,8,60.25366179511147,8,56.527843854332716,5,60.38861343825502,9,51.3721599455014,1,41.21557949050235,10,61.73127759601597,4,60.84096677381707,2,54.82310827603547,1,64.41308721975653,8,43.28935777275854,7,37.13259164167646,1,46.07783110171132,6,35.092208698429715,8,66.54104524059561,2,48.64521467175969,6,37.82482879124471,4,47.1236308511099,2,53.05305145562466,4,28.158505590890964,1,50.79018544506441,7,60.03440165347371,5,35.73075710259487,7,39.65119017898255,3,35.47316697462283,1,59.987525068743274,8,48.80635300650308,6,44.33924447831778
0.0,483909.5091950807,5,55044832.56383017,1,20,24405.294460287165,11844.962340466218,7.344053778832626,7717.168415545561,6,6,36.47204506103996,8,34.73419132421434,5,23.726529798560904,7,24.489973831290676,4,31.044575481099184,10,40.29467718653275,1,29.448653752399245,3,29.43101164133498,5,24.225205047928497,1,35.93250606173012,3,30.947237809143793,6,23.393636024598855,3,34.33132913712985,2,24.016576438469098,9,37.47293043149737,6,6.511931255298112,8,26.095058078734176,7,19.751089584527435,9,33.421472860757156,10,27.456736657285347,1,19.07223305697574,6,25.62284132835221,4,43.987569132351275,10,26.30302713185815,9,29.1779106746334,1,26.62302419236492,1,40.23941719230663,5,23.145545124001593,3,30.054019585810526,1,28.76711144457594,10,27.03242171694791,3,36.460464321868784,10,20.94347125470992,5,23.15976960281375,2,25.80803045506299,9,24.09122008066646,3,38.925642210302655,6,36.71318154169113,1,21.713174220356372,5,33.11601370660645,4,45.091001357686125,10,16.474150436061638,1,19.565494663500083,2,32.009560944946415,10,41.33546530172036
0.0,590017.6986912467,1,34369656.934287466,3,25,20236.49371564364,10248.75224460186,5.13376057405423,11000.47670139648,3,4,31.633013070901654,4,37.50530207667028,2,32.922484078203176,8,33.8115925569991,2,31.902045536774025,7,27.368206883403186,8,32.16870605852951,8,37.30858708191051,3,35.06025911369415,4,31.793703657274982,6,26.325346623782995,7,29.309061396299565,3,29.800749754569964,7,35.44196996936966,6,30.958900540505166,5,29.868354067417787,6,33.07415239256593,8,35.41862877964032,5,36.713411698394275,4,39.27719860009388,5,37.87120429197619,10,28.18782340905277,10,33.52504665629464,1,36.45455134374059,10,19.46347728106076,3,32.88456116442553,10,36.46235801068532,6,31.062850629826393,10,24.848479499316195,9,39.184444157955184,6,18.195904720367096,6,17.27738335552887,7,28.021865544186817,10,35.9290428370675,6,24.674937435660347,3,29.16112201469438,5,30.090250285528274,2,23.969197048435312,6,25.241548920173138,10,21.906728798321183,3,26.111189303462588,9,28.452253071371917,2,35.9645166702954,3,29.046392485468274,6,30.89270354562036
0.0,577810.9186126017,1,38205403.3549222,3,21,23473.34562059292,13196.221791503518,6.061784766958321,7503.394396261364,4,7,28.872107593197992,1,31.553671551381985,7,31.978002837325608,2,30.79795512574185,4,30.00029411132977,1,20.962083254849574,2,30.11408358881249,5,38.12915562107861,9,21.24063937530918,2,23.331306281196355,1,22.340399746793807,6,18.77473848416716,2,27.66907805102136,5,26.92971584056612,4,26.463183000828586,6,24.943322125159177,6,27.522140160266016,8,42.69953554670051,2,31.424597009436454,1,29.889029518840037,5,37.75299643411217,4,32.27340864450618,6,30.934808077921158,6,33.00414908673746,3,31.11565927857169,3,29.66761804171422,8,37.740156123618036,4,43.665589660399235,3,29.83523537751832,5,18.255219643050538,2,28.550963664197777,8,30.521241378743362,9,29.862103497124597,3,19.928040193798736,10,29.351270962601067,10,32.73130229249189,9,36.62434600370541,4,23.650823142377924,6,20.92561199263959,4,43.73070065492906,3,24.8262419619617,10,20.321013257597194,10,47.43704765297878,7,42.44938988989518,3,21.67936108999918
1.0,855332.1835097532,1,120148879.46390396,3,60,38580.58180838689,52454.98681794313,7.744818097582474,46570.05774397768,9,2,50.86694571485534,5,40.28500156527953,5,49.67607728004361,4,39.541161724822636,4,27.801549517248446,1,46.78480411756817,10,32.53623912605934,5,38.90277930015077,1,50.20357036723256,9,59.99534453651336,1,36.99986054276169,5,49.51011211791483,8,50.902768682178255,1,43.84146052764611,8,59.82975011245588,7,42.73522184254155,10,50.00132239997409,4,47.90629391570102,8,60.663617722106565,4,67.10852776312063,7,49.744204006773835,10,82.61957859966734,1,42.5218665914903,4,36.20611375684224,3,38.01378686401591,2,53.414160858778985,7,40.53696775566901,2,62.61678910166227,4,50.954998476550955,2,40.02806887437437,6,41.1570641655307,1,53.81267408452459,6,56.89343933556262,8,40.94663351721039,6,62.93478595769523,3,35.54668482432997,4,59.6111702072373,4,51.94062799399515,10,56.48483885068791,4,52.799566569275974,5,54.212726969804784,4,41.29016477604536,4,40.99276307112575,1,36.4847968518572,4,56.116208173431055
0.0,390213.76416507765,3,46526977.11042157,2,14,25358.401869452948,7166.35294410162,4.963552679741962,11480.666845112957,1,4,29.301678072800133,10,31.96894480063277,8,26.68024888169167,3,31.680348799443593,5,16.322323857408563,8,27.89329318329751,10,39.13258985922194,8,36.741205703149674,7,38.03642903566085,1,32.428055653168414,1,35.5370546175262,1,34.4719011592795,7,34.152116964708085,9,33.051658846069294,7,35.84694985814224,10,32.32492814683648,6,35.43649325981032,3,26.447903004444846,8,30.305547360570532,2,41.66830079822748,9,29.400460132995523,4,26.24017904278004,9,36.83180902219907,5,36.21614690494246,7,31.816759284149857,5,43.82430810466802,1,29.754198870302506,3,30.947310152249656,7,32.49012985493437,7,25.368713928728543,6,39.33707491212206,8,33.167309879205206,1,30.932812921170022,8,22.269099825136294,8,38.446180045641526,4,27.474357260644634,7,36.24257124572178,1,23.50847416308101,10,36.21789601585222,8,37.33188697742441,6,33.07237125289682,3,31.938410313448614,4,38.17243008559929,1,25.20192266027037,4,37.21744122008221
1.0,645951.3623316216,1,103694209.49562167,4,30,33748.78741117475,32953.78041822884,7.1927675778563795,57397.59290697269,5,8,65.29101006673247,5,55.888394964419795,5,40.92149235602151,4,63.228182691504216,1,55.60203866453753,10,69.75437816493869,7,50.87203618950939,6,40.83964435553632,9,36.194041794291806,3,56.034412799091264,7,30.199643543736762,2,53.877675186693914,6,47.49407538746752,2,59.91893353426286,10,75.59353863613248,6,46.43750466409556,2,59.927696808503455,7,50.60985477848998,9,40.303368879621395,3,49.98575335206158,9,58.01359193683108,8,60.561885802965485,5,53.76263860536775,8,50.785726649641,3,47.375200980068406,4,54.10541512763395,4,58.53964584795377,9,49.56320099896439,6,39.15603098461314,2,31.73843178995118,5,43.54067273464902,5,47.05677535408523,7,46.887834547481795,10,44.09008761898465,5,53.50051769673104,8,72.88960188760726,2,41.15005959820294,1,45.68933201009522,6,58.96797250963348,6,47.23378688458949,1,59.629049769306135,6,47.1647944323444,1,50.84243478943779,9,52.69471579817829,6,50.0253813198762
1.0,793474.186193141,3,118758310.7502131,3,44,50829.1185317204,49168.66474278506,11.898526348564618,64852.16584147117,7,6,61.17520548774607,2,40.43294191003966,9,46.30573901441141,5,47.46381521053046,2,39.082430178909746,1,42.72497067088935,7,48.84169043211788,5,72.57656890388458,3,27.588767469911282,2,53.73643810570314,5,53.015862495672444,10,67.43547390939692,2,63.05779197879539,2,50.66703951713301,6,38.54398185428407,3,50.374661610416055,7,25.49520116564066,7,51.03816721538947,6,71.61793215509573,4,51.89983159604156,1,44.96774338995341,8,45.4782002495945,3,40.28928918674089,2,35.28001360697088,10,42.22748575231533,3,46.97084951083668,4,58.19558525218922,2,38.96463590639627,8,40.202058223622956,8,41.77290893475131,4,60.391588065090936,6,47.482646208632964,2,52.2483003917081,3,48.73601338929122,5,39.84628648666276,9,54.01598954345474,6,35.91928990577384,2,48.801805734588,6,47.1063570963729,1,46.12819524112513,6,49.45721319325367,8,44.10706540573263,10,47.247232715028545,6,47.68416496725261,2,57.45109922698126
0.0,535348.2905948667,5,31581022.270421427,1,13,19939.87985543406,8793.406302443691,5.510098731207273,8080.535330334132,3,10,17.91237758105271,6,21.393302251897634,5,25.40671458351244,6,30.68099265588381,8,37.05481632992359,10,20.474143481120027,9,23.003518725558664,1,31.00053298120234,7,43.95538834164278,1,34.33091192894884,9,25.863078071256975,2,24.356784755328633,2,30.76671393163801,10,25.00416990274684,4,37.24979866449326,6,31.186100349015668,8,17.863816901517843,3,22.063851179444914,9,36.7197626704771,7,36.941789995080555,5,35.262555988129165,10,23.552260623729097,9,26.46508182282192,9,39.12052020900279,4,29.053024522743428,5,25.969554802479426,4,31.753232022616025,8,37.26490550310977,3,25.716491273002756,5,26.34843100493258,4,35.119661969538804,1,31.5076623269105,7,16.111873159856216,3,20.993931447211466,6,25.20191476964347,3,17.690169756325947,6,27.73349143911101,8,37.59876458669505,5,26.721526046578,4,33.76194392192867,6,30.74673645366824,10,44.77483823572835,3,35.8161844694147,10,28.857692886828037,9,39.988054378317486
1.0,1017878.7838291299,3,157368061.11333537,2,45,65019.529651885954,59456.3342756763,7.651715255037771,55018.52049359891,2,3,51.92679929849472,10,55.28399015856075,3,66.58968534453273,2,31.33982326455509,8,51.155186187611974,2,40.19147073465199,1,52.45173599771717,5,47.29767915792307,7,68.19925286050854,9,55.331480612532246,3,30.031294168320102,9,52.143736476499086,10,42.744617394384605,10,46.43651515441631,4,40.102146684167366,9,67.24403645118602,8,59.89923548014628,1,47.75771071898886,10,42.59859551639165,9,54.14680364688543,4,60.130834598206135,9,52.23837059138748,10,69.20461735992576,3,68.68538161367435,8,47.024616895443344,3,60.12632361783901,10,44.53742282206626,8,45.42221011249166,2,41.714866651752516,1,63.657388974176584,10,52.9027249258105,9,45.8342876145922,9,45.651518608647756,5,46.45286391550335,9,61.478124670881705,6,69.88606754822206,10,45.12879531307195,8,49.628728269310606,8,56.616035033619326,4,42.33752112159176,4,37.66150751912876,3,35.646261228522675,10,51.044315942011714,7,40.65450240764633,3,55.001503800695914
